event;venue;year;month;event_type;organizer;result;country;crew;boat_type;distance;age_category;gender;race_number;lane_number;stage;all comers;comment
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.132;Canada;National Team;20;200;premier;women;216;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.154;Thailand;National Team;20;200;premier;women;216;2;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.188;Thailand;National Team;20;200;senior B;open;194;4;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.211;Philippines;National Team;20;200;senior A;open;201;2;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.213;Macau;National Team;20;200;premier;mixed;175;5;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.214;United States;National Team;20;200;senior A;mixed;182;2;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.218;China;National Team;10;200;premier;open;218;3;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.249;Ukraine;National Team;10;200;premier;open;258;2;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.249;Hong Kong;National Team;20;200;senior A;open;200;5;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.252;Japan;National Team;20;200;senior A;open;259;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.324;Australia;National Team;20;200;junior A;open;240;1;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.330;Ukraine;National Team;20;200;premier;mixed;139;5;heat 3;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.401;Germany;National Team;20;200;senior A;open;201;5;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.482;Japan;National Team;20;200;senior A;open;232;1;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.516;Germany;National Team;20;200;premier;mixed;138;5;heat 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.517;Macau;National Team;20;200;premier;mixed;187;4;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.554;United States;National Team;20;200;senior B;open;252;3;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.578;Ukraine;National Team;20;200;premier;mixed;187;3;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.592;Canada;National Team;20;200;senior B;open;229;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.707;Australia;National Team;20;200;premier;mixed;187;1;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.714;United States;National Team;20;200;senior C;open;197;2;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.739;Thailand;National Team;20;200;junior A;mixed;155;1;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.764;Germany;National Team;20;200;senior A;mixed;182;1;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.764;United States;National Team;20;200;u24;mixed;153;3;round 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.800;Thailand;National Team;10;200;premier;open;217;3;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.802;United States;National Team;20;200;u24;mixed;170;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.863;Singapore;National Team;20;200;senior A;open;259;2;minor final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.879;Canada;National Team;20;200;senior C;open;230;2;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.890;Germany;National Team;10;200;premier;open;257;1;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.921;Australia;National Team;20;200;senior A;mixed;182;4;grand final;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.936;United States;National Team;20;200;senior A;mixed;149;4;heat 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.948;Singapore;National Team;20;200;premier;mixed;175;2;semi 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.952;United States;National Team;20;200;senior A;mixed;165;3;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.976;Iran;National Team;10;200;premier;open;257;2;semi 1;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:47.997;Thailand;National Team;20;200;junior B;open;240;4;round 2;;
201908_thailand_pattaya;Thailand - Pattaya;2019;8;WDBRC;IDBF;00:48.017;Australia;National Team;20;200;premier;mixed;137;4;heat 1;;
